SIRET,DATE_ANALYSE,NOMBRE_CONTRATS_ACTIFS,NB_HOMMES,NB_FEMMES,NB_CADRES,NB_NON_CADRES,NB_CDI,NB_CDD,NB_ALTERNANTS,NB_STAGIAIRES,NB_TEMPS_PLEIN,NB_TEMPS_PARTIEL,NB_AFFILIES_SANTE,NB_AFFILIES_PREVOYANCE,NOM_MUTUELLE,NOM_PREVOYANCE,DEMISSIONS,FINS_CDD,LICENCIEMENTS,MASSE_SALARIALE_BRUTE_KE,MS_CADRE_KE,MS_NON_CADRE_KE,PART_MS_CADRE_POURCENT,PART_MS_NON_CADRE_POURCENT,SALAIRE_MOYEN_TOTAL,TOTAL_JOURS_ABSENCES,J_MALADIE,J_AT,J_CONGES,NB_ARRETS_TOTAL,NB_SINI_AT,NB_ABS_LONGUE_DUREE,TAUX_ABSENTEISME_POURCENT,ANCIENNETE_MOYENNE_CDI_ANNEES,ANCIENNETE_MOY_DEPART_ANNEES,TOTAL_SANTE_EUROS,TOTAL_PREVOYANCE_EUROS,TOTAL_RETRAITE_EUROS,TAUX_FEMINISATION_POURCENT,TAUX_CADRES_POURCENT,TAUX_NON_CADRES_POURCENT,TAUX_TEMPS_PARTIEL_POURCENT,TAUX_FEMINISATION_MANAGEMENT_POURCENT,MS_CHARGEE_KE,PART_VARIABLE_POURCENT,TAUX_AFFILIES_SANTE_POURCENT,TAUX_AFFILIES_PREV_POURCENT,TAUX_MALADIE_POURCENT,TAUX_AT_POURCENT,TAUX_FREQUENCE_AT,TAUX_GRAVITE_AT,DUREE_MOY_ARRET_JOURS,RECRUTEMENTS_12_MOIS,TAUX_TURNOVER_POURCENT,EFFECTIF_MOYEN,ANCIENNETE_MEDIANE_CDI_ANNEES,SALAIRE_MOYEN_HOMME,SALAIRE_MOYEN_FEMME,ECART_SALARIAL_HF_POURCENT,SALAIRE_MOYEN_CADRE,SALAIRE_MOYEN_NON_CADRE,SALAIRE_MEDIAN_CADRE,SALAIRE_MEDIAN_NON_CADRE,SALAIRE_MEDIAN_HOMME,SALAIRE_MEDIAN_FEMME,SALAIRE_MEDIAN_TOTAL,NB_36_45,NB_MOINS_26,NB_26_35,NB_46_55,NB_PLUS_55,MS_CADRE_N_KE,MS_NON_CADRE_N_KE,MS_CADRE_N_1_KE,MS_NON_CADRE_N_1_KE,MS_CADRE_N_2_KE,MS_NON_CADRE_N_2_KE,EVOL_EFFECTIF_M_1_ABS,EVOL_RECRUTEMENTS_M_1_ABS,EVOL_MSB_M_1_POURCENT,EVOL_SALAIRE_MOYEN_M_1_POURCENT,EVOL_ABSENTEISME_M_1_PTS,EVOL_TURNOVER_M_1_PTS,EVOL_EFFECTIF_N_1_ABS,EVOL_RECRUTEMENTS_N_1_ABS,EVOL_MSB_N_1_POURCENT,EVOL_SALAIRE_MOYEN_N_1_POURCENT,EVOL_ABSENTEISME_N_1_PTS,EVOL_TURNOVER_N_1_PTS
81291741700022,2026-01-31,1,1,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,3,3,0,100.0,0.0,2627,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,266,0.0,100.0,0.0,0.0,0.0,3,200.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,7.9,2627,0,100.0,2627,0,2627,0,2627,0,2627,1,0,0,0,0,3,0,0,0,0,0,,,0.0,0.0,,,,,0.0,0.0,,
53354636200021,2026-01-31,2,1,1,1,1,1,0,0,0,1,0,0,0,,,0,0,0,5,3,2,51.4,48.6,2570,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,330,50.0,50.0,50.0,0.0,100.0,5,252.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,100.0,1.0,0.2,2640,2500,5.3,2640,2500,2640,2500,2640,2500,2570,0,0,0,2,0,3,2,0,0,0,0,,,0.0,0.0,,,,,0.0,0.0,,
34435996300032,2026-01-31,18,16,2,1,17,14,4,0,0,17,1,0,18,,PRV10470827.0007 / PRV10470827.0006 / PRV10470827.0002,0,0,0,38,4,35,9.3,90.7,2126,0.0,0.0,0,0,0,0,0,0.0,6.4,0.0,0,927,2097,11.1,5.6,94.4,5.6,0.0,38,501.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4,12.5,16.0,3.8,2151,1923,10.6,3560,2042,3560,2144,2165,1923,2165,3,1,0,6,7,4,35,0,0,0,0,,,0.0,0.0,,,,,0.0,0.0,,
83351320300020,2026-01-31,1,1,0,0,1,0,1,0,0,1,0,0,0,,,0,0,0,1,0,1,0.0,100.0,1221,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,12,0.0,0.0,100.0,0.0,0.0,1,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.5,0.4,0,1221,0.0,0,1221,0,1221,0,1221,1221,0,1,0,0,0,0,1,0,0,0,0,,,0.0,0.0,,,,,0.0,0.0,,
88997795500018,2026-01-31,4,4,0,1,3,3,0,0,0,3,0,0,4,,PREV.CADRE / PREV.OUVRIER,0,0,0,14,8,7,54.1,45.9,3573,0.0,0.0,0,0,0,0,0,0.0,4.0,0.0,0,329,1737,0.0,25.0,75.0,0.0,0.0,14,349.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,4.0,3573,0,100.0,7726,2188,7726,2032,2267,0,2267,1,0,1,1,1,8,7,0,0,0,0,,,0.0,0.0,,,,,0.0,0.0,,
32232518400057,2025-03-31,13,6,7,0,13,13,0,0,0,11,2,0,0,,,0,0,0,22,0,22,0.0,100.0,1716,74.28571428571429,52.14285714285714,0,0,4,0,1,26.37,22.8,0.0,0,0,1593,53.8,0.0,100.0,15.4,0.0,22,458.0,0.0,0.0,18.51,0.0,0.0,0.0,18.6,0,0.0,12.0,24.2,1749,1695,3.1,0,1716,0,1802,1881,1802,1802,1,0,0,1,10,0,217,0,0,0,0,,,0.0,0.0,,,,,0.0,0.0,,
32232518400065,2025-03-31,64,43,21,5,59,61,3,0,0,59,5,0,0,,,0,0,0,133,20,112,15.3,84.7,2070,44.285714285714285,44.285714285714285,0,0,2,0,2,3.19,15.1,3.2,0,0,16553,32.8,7.8,92.2,7.8,20.0,133,516.5,0.0,0.0,3.19,0.0,0.0,0.0,22.1,6,7.4,60.5,10.9,1567,1375,12.3,4042,1353,3693,1802,1833,1802,1814,9,3,6,18,26,149,1109,0,0,0,0,,,0.0,0.0,,,,,0.0,0.0,,
32232518400057,2025-04-30,13,6,7,0,13,13,0,0,0,11,2,0,0,,,0,0,0,22,0,22,0.0,100.0,1716,98.57142857142858,77.14285714285714,0,0,5,0,1,34.99,22.9,0.0,0,0,1949,53.8,0.0,100.0,15.4,0.0,22,461.7,0.0,0.0,27.38,0.0,0.0,0.0,19.7,0,0.0,12.0,24.3,1749,1695,3.1,0,1716,0,1802,1881,1802,1802,1,0,0,1,10,0,217,0,0,0,0,0.0,0.0,0.0,0.0,8.6,0.0,,,0.0,0.0,,
32232518400065,2025-04-30,61,40,21,4,57,58,3,0,0,56,5,0,0,,,0,0,0,125,17,109,13.2,86.8,2054,45.00000000000001,45.00000000000001,0,0,4,0,2,3.4,15.8,0.0,0,0,13780,34.4,6.6,93.4,8.2,25.0,125,505.1,0.0,0.0,3.4,0.0,0.0,0.0,11.3,6,7.4,60.5,11.0,2169,1833,15.5,4126,1908,3517,1920,2029,1849,1920,8,3,6,19,26,149,1109,0,0,0,0,-3.0,0.0,-6.0,-0.8,0.2,0.0,,,0.0,0.0,,
32232518400057,2025-05-31,13,6,7,0,13,13,0,0,0,11,2,0,0,,,0,0,0,22,0,22,0.0,100.0,1716,105.71428571428571,66.42857142857143,0,0,5,0,2,37.53,23.0,0.0,0,0,1392,53.8,0.0,100.0,15.4,0.0,22,478.4,0.0,0.0,23.58,0.0,0.0,0.0,21.1,0,0.0,12.0,24.4,1457,1695,-16.3,0,1593,0,1802,1860,1802,1802,1,0,0,1,10,0,217,0,0,0,0,0.0,0.0,0.0,0.0,2.5,0.0,,,0.0,0.0,,
